id,bag_name,date,notes
1,MVI_1569_4x4_2022-07-19-10-57-59,19-07-2022,
2,MVI_1575_4x4_plot1_mission2_2022-07-19-11-40-34,19-07-2022,
3,MVI_1584_1_plot1_mission3_2022-07-19-12-37-50,19-07-2022,
4,MVI_1584_plot1_mission3_2022-07-19-12-33-38,19-07-2022,
5,MVI_1586_plot1_mission3_2022-07-19-13-00-49,19-07-2022,
6,MVI_1591_plot2_7x2_2022-07-19-15-06-42,19-07-2022,
7,MVI_1716_slope_20_CSIC_test1_2022-07-20-16-49-51,20-07-2022,
8,MVI_1717_slope_20_CSIC_test1_s_0_8_2022-07-20-16-53-19,20-07-2022,
9,MVI_1711_mission_7x2_2022-07-20-15-08-48,20-07-2022,
10,MVI_1868_mission_4x3_2022-07-21-13-59-26,21-07-2022,
11,MVI_1872_mission_4x3_2022-07-21-14-04-25,21-07-2022,
12,MVI_1927_mission_4x4_2022-07-21-16-01-00,21-07-2022,
13,MVI_1928_mission_4x4_2022-07-21-16-12-29,21-07-2022,
14,MVI_1775_4x2_2022-07-21-14-33-16,21-07-2022,
15,MVI_4472_date_2023-07-11_hour_10_52_39,11-07-2023,
16,MVI_4565_date_2023-07-12_hour_15_10_07,12-07-2023,
17,MVI_4568_date_2023-07-12_hour_15_45_36,12-07-2023,
18,MVI_4566_date_2023-07-12_hour_15_16_20,12-07-2023,
19,MVI_4596_date_2023-07-13_hour_10_21_38,13-07-2023,
20,MVI_4606_date_2023-07-13_hour_11_24_22,13-07-2023,
21,MVI_4607_date_2023-07-13_hour_11_26_26,13-07-2023,
